cat,案號,主管機關,名稱,類別,進度,說明
B01,1030111D,桃園市,東和鋼鐵桃園廠擴增產能計畫環境影響說明書(定稿本),說明書,通過審查,1.本案係103年補傳之資料，繳費…
B01,1030061D,桃園市,研華股份有限公司林口園區擴建工程環境影響說明書,說明書,通過審查,
B01,1030041F,苗栗縣,裕隆三義二廠興建案環境影響說明書,說明書,進入二階,本書件為公開陳列版。105年9月2…
B01,1030041R,基隆市,基隆市信義區深澳段212等5筆地號瀝青混凝土廠設置工程,說明書,不應開發,
B01,1030031O,臺東縣,久明企業有限公司新設瀧溪堆置場及預拌混凝土廠計畫,說明書,通過審查,
B01,1030021N,屏東縣,和協工程股份有限公司植物保護劑製程增建開發計畫環境影響說明書,說明書,通過審查,
B01,1030011C,宜蘭縣,綠海包裝利澤工廠興建計畫,說明書,進入二階,說明書件為初稿
B01,1021151A,環境部,台灣化學纖維股份有限公司龍德廠PTA及IPA製程產能調整計畫環境影響說明書,說明書,退件/撤銷/駁回,開發單位於103年3月5日經目的事…
B01,1020371X,高雄市,高雄市燕巢區安南段正隆紙器工業園區開發計畫環境影響說明書,說明書,通過審查,定稿(20150129)
B01,1020281T,臺中市,臺中市東勢區長昱企業社預拌混凝土廠設置申請案環境影響說明書,說明書,通過審查,定稿本
B01,1020241B,新北市,新北市鶯歌區大湖段大同大隈擴展計畫(鶯歌廠)開發案環境影響說明書,說明書,有條件通過,
B01,1020161D,桃園市,正隆股份有限公司大園廠擴廠計畫環境影響說明書,說明書,通過審查,
B01,1020161X,高雄市,中石化小港廠己內醯胺生產線興建計畫變更案環境影響說明書,說明書,有條件通過,
B01,1020131T,臺中市,聯好環保股份有限公司環境影響說明書,說明書,通過審查,定稿本
B01,1020081E,新竹縣,聯茂電子新埔廠開發計畫環境影響說明書,說明書,廢止結論,本府已於108年12月11日府授環…
B01,1020031E,新竹縣,利汎科技股份有限公司廠房增建環境影響說明書,說明書,有條件通過,
B01,1020031H,彰化縣,綠點高新科技股份有限公司彰化廠環境影響說明書,說明書,有條件通過,
B01,1010391B,新北市,新屋力懋鋁業鶯歌廠環境影響說明書,說明書,有條件通過,
B01,1010171D,桃園市,旭邑企業有限公司廠房設置環境影響說明書,說明書,廢止結論,
B01,1010031N,屏東縣,橘平實業股份有限公司屏東廠開發計畫環境影響說明書,說明書,有條件通過,
B01,1010021H,彰化縣,慶欣欣鋼鐵股份有限公司彰濱廠二期興建計畫環境影響評估說明書,說明書,有條件通過,
B01,1010021Z,金門縣,「金寧三廠整廠系統新建工程」環境影響說明書,說明書,有條件通過,
B01,1001131A,環境部,大林煉油廠蒸餾工場汰舊更新暨相關工場更新計畫環境影響說明書,說明書,有條件通過,
B01,1000131B,新北市,林口特定區工十二工業區第一期第二次開發變更計畫環境影響說明書,說明書,有條件通過,
B01,1000131F,苗栗縣,新加坡商矽比科亞洲有限公司寶琳分公司龍騰廠擴建計畫環境影響說明書,說明書,有條件通過,本書件為定稿本
B01,1000081X,高雄市,石安水泥美濃砂石場新設預拌混凝土廠環境影響說明書,說明書,有條件通過,因年代久遠繳費日期僅供參考
B01,1000061W,臺北市,圓興有限公司廢光碟片處理廠設置計畫環境影響說明書,說明書,有條件通過,
B01,1000041L,臺南縣,榮剛材料科技股份有限公司柳營廠建廠計畫環境影響說明書,說明書,有條件通過,
B01,1000031D,桃園市,亞東石化股份有限公司觀音二廠開發計畫環境影響說明書(定稿本),說明書,有條件通過,1.本案係103年補傳之資料，繳費…
B01,0990611A,環境部,台糖公司南靖糖廠增設生質酒精工場投資計畫環境影響說明書,說明書,廢止結論,109年12月8日公告廢止審查結論
B01,0990432A,環境部,彰化縣西南角(大城)海埔地工業區工業專用港開發計畫環境影響評估報告書(初稿),評估報告書,退件/撤銷/駁回,"本案開發單位申請撤回,本署業於10…"
B01,0990301D,桃園市,基榮實業有限公司廢棄物清理機構環境影響說明書,說明書,有條件通過,1.本案係103年補傳之資料，繳費…
B01,0990261D,桃園市,變更大園都市計畫(部份農業區)為工業區及河川區環境影響說明書(定稿本),說明書,有條件通過,由於本案係103年補傳，第一次提案…
B01,0990251D,桃園市,遠興化學工業工廠興建環境影響說明書(定稿本),說明書,有條件通過,由於本案係103年補傳，繳費日期以…
B01,0990231D,桃園市,聯騰工業機械廠房設置新建工程環境影響說明書(定稿本),說明書,有條件通過,由於本案係103年補傳，繳費日期以…
B01,0990181D,桃園市,桃園市大溪區缺子段缺子小段136-6地號工廠興建開發計畫環境影響說明書,說明書,有條件通過,1.由於本案係103年補傳之資料，…
B01,0990171D,桃園市,承美機械廠房設置環境影響說明書(定稿本),說明書,有條件通過,1.此繳費日期為書件封面當月之1號…
B01,0990131G,臺中縣,輔祥實業股份有限公司永豐廠擴建計畫變更環境影響說明書,說明書,廢止結論,
B01,0990101E,新竹縣,中國化學製藥股份有限公司研發大樓及製造工廠開發計畫,說明書,有條件通過,說明書定稿本
B01,0990101G,臺中縣,國光生技台中潭子廠區廠房擴建及毗連土地擴展計畫環境影響說明書,說明書,有條件通過,
B01,0990091G,臺中縣,輔德高分子股份有限公司產能增設計畫環境影響說明書,說明書,廢止結論,
B01,0990081G,臺中縣,豐興鋼鐵產能變更環境影響說明書,說明書,有條件通過,
B01,0990081X,高雄市,海光企業股份有限公司小港廠煉鋼設備更新計畫環境影響說明書,說明書,有條件通過,
B01,0990071A,環境部,六輕五期計畫環境影響說明書,說明書,廢止結論,開發單位於103年10月31日以總…
B01,0990071D,桃園市,遠興化學工業工廠興建,說明書,有條件通過,由於本案係103年補傳，繳費日期以…
B01,0990061D,桃園市,變更大園都市計畫(部分農業區)為工業區及河川區,說明書,有條件通過,由於本案係103年補傳，第一次提案…
B01,0990051D,桃園市,聯騰工業機械廠房設置新建工程,說明書,有條件通過,由於本案係103年補傳，繳費日期以…
B01,0990031L,臺南縣,臺南市龍崎工業區樺懋科技股份有限公司擴廠暨瑻懋環保科技股份有限公司新設開發計畫環境影響說明書,說明書,有條件通過,
B01,0990011F,苗栗縣,冠軍建材股份有限公司工廠產能及面積擴增計畫環境影響說明書,說明書,有條件通過,本書件為定稿本
B01,0980121D,桃園市,味全食品工業股份有限公司龍潭廠工廠毗連土地變更編定擴展計畫環境影響說明書（定稿本）,說明書,廢止結論,1.本案係103年補傳之資料，繳費…
B01,0980051D,桃園市,精冶科技工業股份有限公司遷廠計畫環境影響說明書(定稿本),說明書,有條件通過,1.本案係103年補傳之資料，繳費…
B01,0980041S,新竹市,新竹市建中工程股份有限公司申請利用毗連非都市土地擴廠案,說明書,有條件通過,
B01,0980011A,環境部,大林煉油廠油品脫硫計畫環境影響說明書,說明書,有條件通過,
B01,0980011D,桃園市,桃園縣大溪鎮缺子段缺子小段136-6地號工廠興建開發計畫,說明書,有條件通過,98年12月通過；繳費日期以第一次…
B01,0971893A,環境部,東源物流事業股份有限公司倉儲擴建計畫環境影響差異分析報告,差異分析報告,審核修正通過,
B01,0970484B,新北市,新店碧潭風景區162地號山坡地住宅社區興建工程第三次環境影響說明書變更內容對照表,變更內容對照表,審核修正通過,
B01,0970343B,新北市,林口鄉後坑土石方資源堆置場第二次環境影響差異分析報告,差異分析報告,審核修正通過,定稿本
B01,0970111E,新竹縣,新竹縣新豐鄉上坑段地號475等11筆土地工廠毗連地擴廠案,說明書,有條件通過,說明書定稿本
B01,0970061M,高雄市,裕鐵企業股份有限公司工業區用編定開發計畫,說明書,有條件通過,
B01,0970041E,新竹縣,竹北市台元段廠辦大樓新建工程,說明書,有條件通過,說明書定稿本
B01,0970023B,新北市,林口特定區工十二工業區第一期(南亞科技晶圓廠及南亞印刷電路板廠)開發計畫差異分析報告,差異分析報告,審核修正通過,定稿本
B01,0970011G,臺中縣,漢翔航空工業股份有限公司沙鹿北廠區4.13公頃土地開發案環境影響說明書,說明書,有條件通過,
B01,0960721A,環境部,貝民公司台中港建廠計畫環境影響說明書,說明書,有條件通過,
B01,0960611A,環境部,台灣中油股份有限公司三輕更新擴產計畫環境影響說明書,說明書,有條件通過,
B01,0960271B,新北市,林口特定區工十二工業區第一期(南亞科技晶圓廠及南亞印刷電路板廠)開發變更計畫,說明書,有條件通過,(定稿本)
B01,0960131A,環境部,國光石化科技股份有限公司建廠計畫環境影響說明書,說明書,進入二階,
B01,0960081B,新北市,林口特定區工十二工業區第一期(南亞科技晶圓廠及南亞印刷電路板廠)開發變更計畫,說明書,有條件通過,定稿本
B01,0960033B,新北市,烏月土石方資源堆置場（提前封場結案）,差異分析報告,審核修正通過,
B01,0960011F,苗栗縣,長春石油化學苗栗廠及苗栗二廠整體暨擴建計畫環境影響說明書,說明書,有條件通過,本書件為定稿本
B01,0950941A,環境部,中龍鋼鐵股份有限公司第二期第二階擴建計畫環境影響說明書,說明書,有條件通過,
B01,0950303B,新北市,東雲保長坑廠房新建工程環境影響差異分析報告,差異分析報告,審核修正通過,定稿本
B01,0950151A,環境部,桃園煉油廠第三重油加氫脫硫工場興建計畫環境影響說明書,說明書,有條件通過,
B01,0950141A,環境部,大林廠興建重油轉化工場暨媒組工場擴增計畫環境影響說明書,說明書,有條件通過,
B01,0950131A,環境部,台塑鋼鐵股份有限公司一貫作業鋼廠建廠計畫環境影響說明書,說明書,進入二階,
B01,0950121A,環境部,台灣中油股份有限公司M9505煉製事業部高雄煉油廠第二煤裂工場環保汽油品質提升計畫環境影響說明書,說明書,廢止結論,本署於110年8月23日廢止審查結…
B01,0950041E,新竹縣,久聯化學工業股份有限公司申請增加毗連非都市土地擴展計畫環境影響說明書,說明書,通過審查,
B01,0950031G,臺中縣,新紘科技股份有限公司工廠登記申請案環境影響說明書,說明書,有條件通過,定稿本
B01,0950021G,臺中縣,輔祥實業股份有限公司月眉廠擴建計畫環境影響說明書,說明書,廢止結論,
B01,0950011B,新北市,林口特定區工十二工業區第一期（南亞科技晶圓廠及南亞印刷電路板廠）,說明書,有條件通過,
B01,0950011F,苗栗縣,建順煉鋼股份有限公司擴廠計畫環境影響說明書,說明書,有條件通過,本書件為定稿本
B01,0950011G,臺中縣,輔德高分子股份有限公司月眉廠設置計畫環境影響說明書,說明書,廢止結論,
B01,0940502A,環境部,濱南工業區開發計畫環境影響評估報告書,評估報告書,有條件通過,
B01,0940451A,環境部,台肥遷建至台中港營運投資計畫環境影響說明書,說明書,有條件通過,
B01,0940213B,新北市,台北縣鶯歌鎮大湖段六發窯業土地變更丁種建築用地案環境影響差異分析報告,差異分析報告,審核修正通過,
B01,0940111A,環境部,高雄煉油廠第五輕油裂解工場增產計畫環境影響說明書,說明書,退件/撤銷/駁回,本署於96年7月9日同意本案撤案；…
B01,0940051E,新竹縣,碧悠國際光電股份有限公司生產廠房擴建工程環境影響說明書,說明書,有條件通過,
B01,1110124D,桃園市,桔揚股份有限公司龍潭廠開發計畫環境影響說明書變更內容對照表(變更審查結論),變更內容對照表,審核修正通過,112年1月9日函文定稿本，府環綜…
B01,1110081D,桃園市,玉禮實業龍潭廠(重新辦理)環境影響說明書,說明書,審查中,
B01,1110061X,高雄市,高雄市大樹區和山段土地高壓製磚工廠設置環境影響說明書,說明書,通過審查,112.01定稿本
B01,1110051F,苗栗縣,京元電子股份有限公司竹南分公司中華6、7廠擴廠計畫環境影響說明書,說明書,通過審查,本書件為定稿本
B01,1110041C,宜蘭縣,金車股份有限公司員山廠毗連非都市土地擴展興辦事業計畫環境影響說明書,說明書,通過審查,書件為定稿本
B01,1110041H,彰化縣,彰化縣埤頭鄉大湖段1643、1645、1647及1648地號等4筆土地申請作專案輔導畜牧事業設施（蛋品加工廠）,說明書,通過審查,本書件為112.6定稿本
B01,1110024P,花蓮縣,和平水泥廠計畫環境影響說明書變更內容對照表(變更替代燃料之種類及使用量),變更內容對照表,審核修正通過,定稿本
B01,1110023D,桃園市,「亞東石化股份有限公司觀音二廠開發計畫環境影響說明書」第二次環境影響差異分析報告,差異分析報告,其他,(撤回)111年9月22日府環綜字…
B01,1110021C,宜蘭縣,宜蘭龍潭湖酒廠新建工程環境影響說明書,說明書,審查中,書件為第三次修正本
B01,1110021J,雲林縣,豐泰企業股份有限公司豐泰廠擴廠計畫」環境影響說明書,說明書,通過審查,本書件為112年10月修正稿
B01,0940033B,新北市,良和造漆股份有限公司工廠設立許可環境影響差異分析報告,差異分析報告,審核修正通過,定稿本
B01,0940033J,雲林縣,日友環保科技股份有限公司雲林縣元長鄉事業廢棄物處理廠變更計劃環境影響差異分析報告書,差異分析報告,審核修正通過,
B01,0940031G,臺中縣,七宇實業股份有限公司工廠登記申請案環境影響說明書,說明書,有條件通過,定稿本
B01,0940021G,臺中縣,北極光實業有限公司開發案環境影響說明書,說明書,有條件通過,
B01,0930351A,環境部,大林煉油廠汽柴油品質改善暨潤滑基礎油工場興建計畫環境影響說明書,說明書,有條件通過,
B01,0930061D,桃園市,玉禮實業股份有限公司毗連工業用地開發計畫環境影響說明書(定稿本),說明書,通過審查,1.本案係103年補傳之資料，繳費…
B01,0930051E,新竹縣,矽格股份有限公司中興廠申請利用毗連非都市土地變更為工業用地計畫,說明書,有條件通過,
B01,0930051X,高雄市,燁聯鋼鐵股份有限公司煉鋼三廠擴建工程環境影響說明書,說明書,通過審查,定稿本 93.12
B01,0930031R,基隆市,「上泉混凝土有限公司基隆廠」環境影響說明書,說明書,有條件通過,
B01,0930021G,臺中縣,邦泰複合材料股份有限公司興辦工業人擴展工業申請將此毗鄰非都市土地變更編訂為丁種建築用地環境影響說明書,說明書,有條件通過,
B01,0920441A,環境部,六輕四期擴建計畫環境影響說明書,說明書,有條件通過,
B01,0920131B,新北市,瑞芳鎮柑子瀨段建築用地開發計畫,說明書,有條件通過,
B01,0920061A,環境部,臺灣菸酒股份有限公司林口印刷廠建廠計畫環境影響說明書,說明書,有條件通過,
B01,0910301A,環境部,台灣中油股份有限公司煉製事業部桃園煉油廠滑油工場興建工程環境影響說明書,說明書,有條件通過,
B01,0910061X,高雄市,善統工業股份有限公司變更毗鄰土地為工業區開發計畫環境影響說明書,說明書,廢止結論,定稿本 91.07
B01,0910051E,新竹縣,久聯化學工業環境影響說明書,說明書,廢止結論,本府已於95年3月31日府授環發字…
B01,0910022B,新北市,東雲保長坑廠房新建工程,評估報告書,廢止結論,定稿本
B01,0910011D,桃園市,林口工五工業區,說明書,有條件通過,繳費日期依書件封面日期
B01,0910011L,臺南縣,普捷企業股份有限公司第一類乙級廢棄物處理場,說明書,有條件通過,
B01,0901271A,環境部,高平磊晶科技股份有限公司新建廠環境影響說明書,說明書,有條件通過,
B01,0901101A,環境部,聯華電子股份有限公司力行廠區擴增產能計畫環境影響說明書,說明書,有條件通過,
B01,0901081A,環境部,台灣積體電路製造股份有限公司台南廠區擴廠計畫環境影響說明書,說明書,有條件通過,
B01,0900251A,環境部,晶茂達半導體科技股份有限公司及晶誼光電股份有限公司環境影響說明書,說明書,有條件通過,
B01,0900231A,環境部,德泰科技大樓環境影響說明書,說明書,有條件通過,
B01,0900091A,環境部,穩懋半導體股份有限公司新竹園區分公司新建廠環境影響說明書(原全球聯合通信股份有限公司新建廠環境影響說明書),說明書,有條件通過,
B01,0900081B,新北市,良和造漆工廠設立許可,說明書,有條件通過,定稿本
B01,0900071X,高雄市,燁聯鋼鐵股份有限公司工廠擴建計畫環境影響說明書,說明書,通過審查,定稿本 90.09
B01,0900041A,環境部,光磊科技股份有限公司、連勇科技股份有限公司二廠興建環境影響說明書,說明書,有條件通過,
B01,0900041B,新北市,萬里中幅子土石方資源堆置場,說明書,有條件通過,定稿本
B01,0900026I,南投縣,921震災鄉村區(中寮鄉二重溪段)重建住宅環境影響因應對策,因應對策,審核通過,
B01,0900011R,基隆市,新發製鋼基隆廠房新建工程環境影響說明書(定稿本),說明書,有條件通過,
B01,0892041A,環境部,立生半導體股份有限公司晶圓廠環境影響說明書,說明書,有條件通過,
B01,0891211A,環境部,聯華電子股份有限公司Fab-8E晶圓廠環境影響說明書,說明書,有條件通過,
B01,0891161A,環境部,茂德科技股份有限公司晶圓廠擴增產能計畫環境影響說明書,說明書,有條件通過,
B01,0891081A,環境部,台灣積體電路製造股份有限公司晶圓八廠環境影響說明書,說明書,有條件通過,原世大積體電路股份有限公司晶圓廠
B01,0890911A,環境部,敦南科技股份有限公司新竹分公司晶圓廠環境影響說明書,說明書,有條件通過,
B01,0890822A,環境部,六輕產品、產能調整計畫環境影響評估報告書,評估報告書,有條件通過,
B01,0890761A,環境部,中美和台中廠興建計畫環境影響說明書,說明書,有條件通過,
B01,0890741A,環境部,旺宏電子力行廠區擴廠計畫環境影響說明書,說明書,有條件通過,
B01,0890621A,環境部,聯華電子股份有限公司Fab-8F晶圓廠環境影響說明書,說明書,有條件通過,
B01,0890301A,環境部,家鴻興業有限公司增設預拌混凝土廠環境影響說明書,說明書,有條件通過,
B01,0890221A,環境部,國產實業建設股份有限公司屏東預拌混凝土廠建廠環境影響說明書,說明書,有條件通過,
B01,0890051B,新北市,深坑鄉烏月段烏月小段土石方資源堆置場設置計畫,說明書,廢止結論,定稿本
B01,0890051D,桃園市,桃園縣楊梅鎮矮坪子段丁種建築用地環境影響說明書(定稿本),說明書,廢止結論,109年7月31日函文府環綜字第1…
B01,0890051N,屏東縣,沅建企業有限公司增設預拌混凝土廠環境影響說明書,說明書,通過審查,
B01,0890051X,高雄市,中石化公司小港二廠建廠環境影響說明書,說明書,廢止結論,定稿本 89.11
B01,0890021N,屏東縣,統全食品工業股份有限公司環境保護工程及土地變更 環境影響說明書,說明書,有條件通過,
B01,0881851A,環境部,恩德實業股份有限公司毗連非都市土地擴展計畫環境影響說明書,說明書,有條件通過,
B01,0881301A,環境部,原料藥GMP先導工廠環境影響說明書（定稿本）,說明書,有條件通過,
B01,0881251A,環境部,正隆股份有限公司后里廠台糖租地申請案環境影響說明書,說明書,有條件通過,
B01,0880921A,環境部,六輕產品、產能調整計畫環境影響說明書,說明書,進入二階,
B01,0880691A,環境部,台化公司龍德廠PTA製程改善及汽電共生設備汰舊更新計畫環境影響說明書,說明書,有條件通過,
B01,0880191L,臺南縣,臺南縣玉井鄉丁丁有限公司預拌混凝土廠興建計畫環境影響說明書,說明書,有條件通過,
B01,0880186B,新北市,永聯建設股份有限公司瑞芳貨櫃集散場,因應對策,審核通過,
B01,0880161A,環境部,鴻揚半導體股份有限公司產能擴充計畫環境影響說明書(原旺宏電子股份有限公司一廠產能擴充計畫環境影響說明書),說明書,有條件通過,本案於111.4.21變更開發單位…
B01,0880121L,臺南縣,信武企業股份有限公司、年憶企業股份有限公司金屬表面處理廠申請變更許可環境影響說明書,說明書,有條件通過,
B01,0880101L,臺南縣,大進精工股份有限公司擴大變更毗鄰土地為工業區環境影響說明書,說明書,有條件通過,
B01,0880091A,環境部,得力實業股份有限公司申請辦理農業用地變更為工業用地案環境影響說明書,說明書,有條件通過,
B01,0880091B,新北市,永聯瑞芳工商綜合區物流專區開發計畫,說明書,有條件通過,定稿本
B01,0880091L,臺南縣,台南縣溪北地區垃圾資源回收(焚化)廠興建工程,說明書,有條件通過,
B01,0880071E,新竹縣,台裕化學製藥廠股份有限公司振興經濟方案工廠毗鄰地變更計畫,說明書,有條件通過,說明書定稿本
B01,0880071L,臺南縣,臺南縣玉井鄉丁丁有限公司預拌混凝土廠興建計畫,說明書,有條件通過,
B01,0880021B,新北市,德山營建工程土石方資源堆置場設置許可計畫,說明書,有條件通過,定稿本
B01,0870331A,環境部,世界先進積體電路股份有限公司第二、三晶圓廠計畫環境影響說明書,說明書,有條件通過,
B01,0870251A,環境部,力晶半導體股份有限公司擴廠計畫環境影響說明書,說明書,有條件通過,
B01,0870051E,新竹縣,三陽工業股份有限公司,說明書,有條件通過,
B01,0860981A,環境部,隆昇混凝土有限公司左鎮廠設置計畫環境影響說明書,說明書,移送管轄,由於資料太老舊，故承辦人、繳費日期…
B01,0860901A,環境部,玉楠混凝土企業有限公司混凝土工廠興建計畫環境影響說明書,說明書,有條件通過,
B01,0860721A,環境部,信益陶瓷工廠股份有限公司振興經濟方案工廠毗鄰地變更計畫環境影響說明書(定稿本),說明書,有條件通過,
B01,0860541A,環境部,彰化人纖專業工業區開發計畫環境影響說明書,說明書,進入二階,
B01,0860071X,高雄市,南隆鋼鐵股份有限公司高雄廠毗鄰地變更擴建計畫環境影響說明書,說明書,廢止結論,定稿本 86.11
B01,0860051A,環境部,和平水泥廠計畫環境影響說明書,說明書,有條件通過,
B01,0860041T,臺中市,興泰預拌混凝土股份有限公司分廠設立計畫環境影響說明書,說明書,有條件通過,
B01,0860021L,臺南縣,信喜實業股份有限公司擴廠計畫,說明書,廢止結論,本案110.7.5經臺南市政府環境…
B01,0860011G,臺中縣,久裕興業股份有限公司振興經濟方案工廠毗鄰地變更計畫環境影響說明書,說明書,有條件通過,本案已公告增列審查結論自即日起（1…
B01,0860011L,臺南縣,玉楠混凝土企業有限公司混凝土工廠興建計畫環境影響說明書,說明書,有條件通過,
B01,0850641A,環境部,濱南工業區開發計畫-精緻一貫作業鋼廠與工業專用港替代方案環境影響說明書,說明書,進入二階,
B01,0850591A,環境部,桂裕高科技一貫作業鋼廠建廠工程第二期擴建計畫環境影響說明書,說明書,有條件通過,
B01,0850441A,環境部,南隆鋼鐵公司松山廠整體開發計畫環境影響說明書,說明書,有條件通過,
B01,0850301A,環境部,遠百企業股份有限公司申請桃園市中路段土地設置倉儲批發專用區計畫環境影響說明書,說明書,有條件通過,
B01,0850201A,環境部,濱南工業區開發計畫-石化綜合廠與工業專用港替代方案環境影響說明書,說明書,進入二階,
B01,0850071L,臺南縣,台南縣麻豆鎮垃圾衛生掩埋場興建工程,說明書,有條件通過,
B01,0850061X,高雄市,中鋼鋁業公司第一階段擴建計畫環境影響說明書,說明書,有條件通過,定稿本 85.08
B01,0850041D,桃園市,申請桃園市中路段設置倉儲批發專用區,說明書,有條件通過,本案書件摘要依850301A案內容…
B01,0840241A,環境部,信立化學工業股份有限公司申請報編工業區環境影響說明書,說明書,進入二階,
B01,0840031X,高雄市,中石化小港廠己內醯胺生產線興建計畫環境影響說明書,說明書,通過審查,定稿本 84.10
B01,0840021R,基隆市,基隆市信義區深澳坑段深澳小段238等地號開發計畫環境影響說明書基市環保局審查意見暨說明(修訂本),說明書,有條件通過,
B01,0840011X,高雄市,國巨股份有限公司高雄廠毗鄰地變更擴建計畫環境影響說明書,說明書,通過審查,定稿本 84.10
B01,0831091A,環境部,高雄縣岡山工業區開發計畫環境說明書,說明書,有條件通過,
B01,0831022A,環境部,台中縣霧峰「電影文化城」社區開發案環境影響評估報告書,評估報告書,有條件通過,
B01,0830991A,環境部,中國鋼鐵股份有限公司電磁鋼片產線投資計畫環境說明書(定稿本),說明書,有條件通過,
B01,0830261A,環境部,中國鋼鐵股份有限公司氧氣工廠七號機增建計畫環境說明書,說明書,有條件通過,
B01,0830021A,環境部,昌冠企業有限公司申請甲級廢棄物處理廠設置許可環境影響說明書,說明書,廢止結論,
B01,0820781A,環境部,台中港水泥儲槽建廠計畫環境說明書,說明書,有條件通過,因資料老舊，故繳費日期僅供參考
B01,0820621A,環境部,台中港水泥圓庫興建計畫環境影響說明書,說明書,有條件通過,
B01,0820091A,環境部,台灣糖業股份有限公司固定資產投資專案計畫--精煉糖廠興建計畫環境說明書,說明書,有條件通過,
B01,0810701A,環境部,萬清水泥股份有限公司與高雄港務局合作興建散裝水泥儲庫,說明書,有條件通過,"因資料老舊,繳費日期僅供參考"
B01,0810512A,環境部,中鋼公司第四階段擴建計畫環境影響評估報告書,評估報告書,有條件通過,
B01,0810491A,環境部,公視籌備委員會竹子山轉播站環境說明書,說明書,有條件通過,
B01,0800192A,環境部,籌建烯烴廠暨相關工業計畫環境影響評估定稿報告書,評估報告書,有條件通過,
B01,1110011D,桃園市,桃園市大溪區石屯段696地號等3筆土地申請興建工廠開發案環境影響說明書,說明書,通過審查,111年9月15日函文定稿本，府環…
B01,1110011P,花蓮縣,和平水泥廠計畫（重新辦理環境影響評估）環境影響說明書,說明書,通過審查,定稿本
B01,1100521A,環境部,大林廠真空蒸餾單元、溶劑脫瀝青單元暨相關工場更新計畫環境影響說明書,說明書,通過審查,
B01,1100151D,桃園市,信和龜山廠毗連用地增建工程環境影響說明書,說明書,審查中,
B01,1100094D,桃園市,台灣科慕股份有限公司觀音廠二氧化鈦建廠環境影響評估報告書第三次變更內容對照表,變更內容對照表,審核修正通過,110年12月3日函文定稿本，府環…
B01,1100081H,彰化縣,為升電裝工業股份有限公司毗連地擴建環境影響說明書,說明書,通過審查,本書件為111年3月定稿本
B01,1100071D,桃園市,桔揚股份有限公司龍潭廠開發計畫環境影響說明書,說明書,通過審查,111年1月11日函文定稿本，府環…
B01,1100061H,彰化縣,榮成紙業二林廠毗連擴展計畫環境影響說明書,說明書,審查中,本書件為112.4修正稿
B01,1100061N,屏東縣,莊松榮製藥廠有限公司里港三廠新設計畫環境影響說明書,說明書,通過審查,
