id,tit,lev,parent_id
70,(三) 提升廠內節能設備,4,64
71,(四) 回饋地方友善環境作為,4,64
72,(五) 雨水貯留設施,4,64
73,(六) 持續關注前瞻技術發展,4,64
74,7.1.3 噪音與振動,2,0
75,一、噪音,3,74
76,(一) 評估基準,4,75
77,1. 環境背景噪音位準現況符合噪音音量標準限值，根據未來環境噪音位準預測判,5,76
78,(1) 若未來環境噪音位準預測值仍符合音量標準限值且未來環境噪音位準預測,6,77
79,(2) 若未來環境噪音 位準預測值未符合音量標準限值 ， 而其噪音增量在 0~3 dB(A),6,77
80,2. 環境噪音位準現況未符合噪音音量標準限值，根據未來環境噪音位準預測值判,5,76
81,(1) 若未來環境噪音位準預測值與環境背景噪音位準現況之差值在 0~3 dB(A) ，,6,80
82,(2) 若噪音增量在 3~5 dB(A) 之間，則視為影響輕微。,6,80
83,(3) 當噪音增量在 5 dB(A)以上 ， 則應進行減輕對策之研 擬 ， 期使差值達到 5 dB(A),6,80
84,(二) 噪音評估模式,4,75
85,(三) 施工期間 噪音,4,75
86,1. 施工機具營建噪音量,5,85
87,(1) 施工機具噪音源,6,86
88,(2) 噪音傳播途徑降低音量措施,6,86
89,(3) 噪音評估受體,6,86
90,(4) 評估結果,6,86
91,2. 施工機具營建噪音 對敏感點之噪音影響,5,85
92,3. 施工車輛運輸噪音,5,85
93,(1) 車輛噪音源,6,92
94,(2) 車行動線與敏感受體位置,6,92
95,(3) 車輛運輸頻率,6,92
96,(4) 評估模式,6,92
97,(5) 評估結果,6,92
98,(四) 營運期間噪音,4,75
99,1. 噪音源,5,98
100,2. 評估模式,5,98
101,3. 評估受體,5,98
102,4. 評估結果,5,98
103,二、振動,3,74
104,(一) 評估基準,4,103
105,(二) 施工機具振動評估,4,103
106,1. 施工機具振動源,5,105
107,2. 評估模式,5,105
108,3. 評估結果,5,105
109,(三) 施工車輛交通振動評估,4,103
110,1. 道路交通振動源與評估受體,5,109
111,2. 交通振動評估模式,5,109
112,3. 道路交通振動評估結果,5,109
113,(四) 營運期間交通振動評估,4,103
114,7.1.4 水文及水質,2,0
115,一、施工期間,3,114
116,(一) 地面水,4,115
117,1. 施工人員生活污水,5,116
118,2. 地表逕流廢水,5,116
119,(二) 地下水,4,115
120,二、營運期間,3,114
121,(一) 地面水,4,120
122,1. 電廠綜合廢水,5,121
123,2. 員工生活污水,5,121
124,(二) 地下水,4,120
125,7.1.5 海域水質 (溫排水模擬 ),2,0
126,一、冷卻循環水進水口佈置,3,125
127,二、溫排水排放佈置規劃,3,125
128,三、溫排水擴散模擬,3,125
129,7.1.6 地形、地質及土壤,2,0
130,一、施工期間,3,129
131,(一) 地形,4,130
132,(二) 地質及土壤,4,130
133,1. 土壤液化潛能分析,5,132
134,2. 基礎分析,5,132
135,3. 擋土措施開挖穩定分析,5,132
136,二、營運 期間,3,129
137,(一) 地形,4,136
138,(二) 地質及土壤,4,136
139,7.1.7 廢棄物,2,0
140,一、施工期間,3,139
141,(一) 營建廢棄物,4,140
142,(二) 一般事業廢棄物,4,140
143,二、營運期間,3,139
144,7.2 生態環境,1,
145,7.2.1  陸域生態,2,144
146,一、施工期間,3,145
147,二、營運期間,3,145
148,7.2.2 海域生態,2,144
149,一、施工期間,3,148
150,二、營運期間,3,148
151,7.3 景觀及遊憩,1,
152,7.3.1  景觀美質 環境影響,2,151
153,一、開發行為景觀現況美質影響調查,3,152
154,(一) 開發行為範圍與其影響全區視域範圍,4,153
155,(二) 開發行為景觀控制點 (景觀點 )選取,4,153
156,(三) 現地環境景觀美質分析,4,153
157,二、開發行為景觀影響預測,3,152
158,(一) 開發行為模擬操作,4,157
159,(二) 景觀影響預測,4,157
160,(三) 景觀影響綜合評估,4,157
161,7.3.2  遊憩環境影響,2,151
162,一、開發行為影響預測,3,161
163,(一) 施工期間的遊憩影響預測,4,162
164,1. 遊憩交通可及性的影響,5,163
165,2. 施工影響鄰近遊憩據點的遊憩體驗,5,163
166,(二) 營運期間的遊憩影響預測,4,162
167,二、可能影響遊憩 據點評估,3,161
168,(一) 旗津風景區,4,167
169,(二) 紅毛港文化園區,4,167
170,(三) 清水巖風景區,4,167
171,(四) 鳳鼻頭遺址,4,167
172,(五) 鳳鼻頭漁港,4,167
173,三、遊憩影響綜合評估,3,161
174,1.旗津風景區,5,173
175,2.紅毛港文化園區,5,173
176,3.清水巖風景區,5,173
177,4.鳳鼻頭遺址,5,173
178,5.鳳鼻頭漁港,5,173
179,7.4 社會經濟,1,
180,7.4.1  土地利用,2,179
181,一、施工期間,3,180
182,二、營運期間,3,180
183,7.4.2  社會環境,2,179
184,一、施工期間,3,183
185,二、營運期間,3,183
186,7.4.3  經濟環境,2,179
187,一、施工期間,3,186
188,二、營運期間,3,186
189,7.5 交通環境,1,
190,一、自然成長交通量預測,3,189
191,二、施工期間 交通影響分析,3,189
192,(一) 施工人員車旅次,4,191
193,(二) 施工車輛車旅次,4,191
194,(三) 小結,4,191
195,(四) 施工期間交通影響說明,4,191
196,1. 路段服務水準分析,5,195
197,2. 路口服務水準分析,5,195
198,三、營運 期間交通影響分析,3,189
199,(一) 員工車旅次,4,198
200,(二) 營運期間交通影響說明,4,198
201,1. 路段服務水準分析,5,200
202,2. 路口服務水準分析,5,200
203,7.6 文化,1,
204,7.7 健康風險評估,1,
